timestamp,user,src_ip,city,lat,lon,action,auth_method,vpn_server,is_attack
2026-09-01 08:00:00,user_1068,103.21.124.65,"Delhi, India",28.6139,77.209,SUCCESS,Password,VPN-03,0
2026-09-01 08:00:12,user_1006,103.21.124.158,"Delhi, India",28.6139,77.209,SUCCESS,Password,VPN-02,0
2026-09-01 08:00:24,user_1013,198.51.100.164,"New York, USA",40.7128,-74.006,SUCCESS,Password,VPN-01,0
2026-09-01 08:00:36,user_1037,185.220.101.139,"London, UK",51.5074,-0.1278,SUCCESS,MFA,VPN-01,0
2026-09-01 08:00:48,user_1062,103.21.124.123,"Delhi, India",28.6139,77.209,FAILURE,MFA,VPN-03,0
2026-09-01 08:01:00,user_1063,103.22.140.220,"Mumbai, India",19.076,72.8777,SUCCESS,MFA,VPN-02,0
2026-09-01 08:01:12,user_1066,103.21.124.2,"Delhi, India",28.6139,77.209,SUCCESS,Password,VPN-03,0
2026-09-01 08:01:24,user_1041,198.51.100.202,"New York, USA",40.7128,-74.006,SUCCESS,Password,VPN-02,0
2026-09-01 08:01:36,user_1071,103.21.124.207,"Delhi, India",28.6139,77.209,SUCCESS,MFA,VPN-03,0
2026-09-01 08:01:48,user_1063,185.220.101.14,"London, UK",51.5074,-0.1278,SUCCESS,Password,VPN-03,0
2026-09-01 08:02:00,user_1019,103.21.124.119,"Delhi, India",28.6139,77.209,SUCCESS,Password,VPN-02,0
2026-09-01 08:02:12,user_1011,185.220.101.207,"London, UK",51.5074,-0.1278,SUCCESS,Password,VPN-01,0
2026-09-01 08:02:24,user_1071,103.22.140.138,"Mumbai, India",19.076,72.8777,SUCCESS,Password,VPN-03,0
2026-09-01 08:02:36,user_1051,103.22.140.234,"Mumbai, India",19.076,72.8777,SUCCESS,Password,VPN-02,0
2026-09-01 08:02:48,user_1017,185.220.101.243,"London, UK",51.5074,-0.1278,SUCCESS,Password,VPN-01,0
2026-09-01 08:03:00,user_1066,185.220.101.2,"London, UK",51.5074,-0.1278,SUCCESS,Password,VPN-03,0
2026-09-01 08:03:12,user_1006,185.220.101.101,"London, UK",51.5074,-0.1278,SUCCESS,Password,VPN-01,0
2026-09-01 08:03:24,user_1045,103.21.124.41,"Delhi, India",28.6139,77.209,SUCCESS,MFA,VPN-01,0
2026-09-01 08:03:36,user_1028,103.22.140.184,"Mumbai, India",19.076,72.8777,SUCCESS,Password,VPN-02,0
2026-09-01 08:03:48,user_1060,103.21.124.30,"Delhi, India",28.6139,77.209,SUCCESS,Password,VPN-02,0
2026-09-01 08:04:00,user_1053,103.21.124.117,"Delhi, India",28.6139,77.209,SUCCESS,Password,VPN-03,0
2026-09-01 08:04:12,user_1068,103.22.140.5,"Mumbai, India",19.076,72.8777,SUCCESS,MFA,VPN-03,0
2026-09-01 08:04:24,user_1037,198.51.100.102,"New York, USA",40.7128,-74.006,SUCCESS,Password,VPN-01,0
2026-09-01 08:04:36,user_1032,103.21.124.14,"Delhi, India",28.6139,77.209,SUCCESS,Password,VPN-02,0
2026-09-01 08:04:48,user_1021,103.21.124.59,"Delhi, India",28.6139,77.209,SUCCESS,Password,VPN-01,0
2026-09-01 08:05:00,user_1060,185.220.101.241,"London, UK",51.5074,-0.1278,SUCCESS,MFA,VPN-03,0
2026-09-01 08:05:12,user_1019,103.22.140.71,"Mumbai, India",19.076,72.8777,SUCCESS,Password,VPN-03,0
2026-09-01 08:05:24,user_1007,103.21.124.122,"Delhi, India",28.6139,77.209,SUCCESS,Password,VPN-02,0
2026-09-01 08:05:36,user_1000,185.220.101.197,"London, UK",51.5074,-0.1278,SUCCESS,MFA,VPN-02,0
2026-09-01 08:05:48,user_1058,198.51.100.18,"New York, USA",40.7128,-74.006,SUCCESS,MFA,VPN-03,0
2026-09-01 08:06:00,user_1042,103.22.140.155,"Mumbai, India",19.076,72.8777,FAILURE,MFA,VPN-03,0
2026-09-01 08:06:12,user_1063,185.220.101.208,"London, UK",51.5074,-0.1278,SUCCESS,Password,VPN-01,0
2026-09-01 08:06:24,user_1065,103.22.140.196,"Mumbai, India",19.076,72.8777,SUCCESS,Password,VPN-01,0
2026-09-01 08:06:36,user_1074,185.220.101.157,"London, UK",51.5074,-0.1278,SUCCESS,MFA,VPN-01,0
2026-09-01 08:06:48,user_1049,103.21.124.29,"Delhi, India",28.6139,77.209,SUCCESS,Password,VPN-03,0
2026-09-01 08:07:00,user_1065,185.220.101.190,"London, UK",51.5074,-0.1278,SUCCESS,Password,VPN-02,0
2026-09-01 08:07:12,user_1071,103.22.140.150,"Mumbai, India",19.076,72.8777,SUCCESS,MFA,VPN-03,0
2026-09-01 08:07:24,user_1055,198.51.100.128,"New York, USA",40.7128,-74.006,SUCCESS,MFA,VPN-03,0
2026-09-01 08:07:36,user_1003,185.220.101.144,"London, UK",51.5074,-0.1278,SUCCESS,MFA,VPN-01,0
2026-09-01 08:07:48,user_1053,198.51.100.52,"New York, USA",40.7128,-74.006,SUCCESS,Password,VPN-03,0
2026-09-01 08:08:00,user_1011,103.22.140.151,"Mumbai, India",19.076,72.8777,SUCCESS,Password,VPN-02,0
2026-09-01 08:08:12,user_1051,198.51.100.239,"New York, USA",40.7128,-74.006,SUCCESS,Password,VPN-03,0
2026-09-01 08:08:24,user_1039,185.220.101.59,"London, UK",51.5074,-0.1278,SUCCESS,Password,VPN-01,0
2026-09-01 08:08:36,user_1045,103.22.140.65,"Mumbai, India",19.076,72.8777,SUCCESS,MFA,VPN-03,0
2026-09-01 08:08:48,user_1004,198.51.100.197,"New York, USA",40.7128,-74.006,SUCCESS,Password,VPN-01,0
2026-09-01 08:09:00,user_1062,185.220.101.125,"London, UK",51.5074,-0.1278,SUCCESS,Password,VPN-01,0
2026-09-01 08:09:12,user_1077,103.22.140.164,"Mumbai, India",19.076,72.8777,SUCCESS,MFA,VPN-03,0
2026-09-01 08:09:24,user_1011,103.22.140.240,"Mumbai, India",19.076,72.8777,SUCCESS,Password,VPN-02,0
2026-09-01 08:09:36,user_1025,185.220.101.19,"London, UK",51.5074,-0.1278,SUCCESS,Password,VPN-02,0
2026-09-01 08:09:48,user_1057,103.22.140.180,"Mumbai, India",19.076,72.8777,SUCCESS,Password,VPN-03,0
2026-09-01 08:10:00,user_1052,103.21.124.51,"Delhi, India",28.6139,77.209,SUCCESS,MFA,VPN-01,0
2026-09-01 08:10:12,user_1023,185.220.101.55,"London, UK",51.5074,-0.1278,FAILURE,MFA,VPN-02,0
2026-09-01 08:10:24,user_1007,198.51.100.71,"New York, USA",40.7128,-74.006,SUCCESS,Password,VPN-02,0
2026-09-01 08:10:36,user_1075,103.22.140.14,"Mumbai, India",19.076,72.8777,SUCCESS,Password,VPN-02,0
2026-09-01 08:10:48,user_1019,185.220.101.56,"London, UK",51.5074,-0.1278,SUCCESS,Password,VPN-02,0
2026-09-01 08:11:00,user_1038,185.220.101.125,"London, UK",51.5074,-0.1278,SUCCESS,Password,VPN-02,0
2026-09-01 08:11:12,user_1005,198.51.100.68,"New York, USA",40.7128,-74.006,SUCCESS,Password,VPN-03,0
2026-09-01 08:11:24,user_1002,198.51.100.47,"New York, USA",40.7128,-74.006,SUCCESS,Password,VPN-02,0
2026-09-01 08:11:36,user_1050,185.220.101.24,"London, UK",51.5074,-0.1278,SUCCESS,Password,VPN-03,0
2026-09-01 08:11:48,user_1023,198.51.100.125,"New York, USA",40.7128,-74.006,SUCCESS,MFA,VPN-01,0
2026-09-01 08:12:00,user_1064,103.21.124.176,"Delhi, India",28.6139,77.209,SUCCESS,Password,VPN-02,0
2026-09-01 08:12:12,user_1069,185.220.101.29,"London, UK",51.5074,-0.1278,SUCCESS,Password,VPN-02,0
2026-09-01 08:12:24,user_1067,103.22.140.55,"Mumbai, India",19.076,72.8777,SUCCESS,Password,VPN-02,0
2026-09-01 08:12:36,user_1056,103.22.140.108,"Mumbai, India",19.076,72.8777,SUCCESS,MFA,VPN-02,0
2026-09-01 08:12:48,user_1012,103.21.124.210,"Delhi, India",28.6139,77.209,SUCCESS,Password,VPN-02,0
2026-09-01 08:13:00,user_1042,185.220.101.107,"London, UK",51.5074,-0.1278,FAILURE,MFA,VPN-02,0
2026-09-01 08:13:12,user_1036,103.22.140.220,"Mumbai, India",19.076,72.8777,SUCCESS,MFA,VPN-02,0
2026-09-01 08:13:24,user_1071,185.220.101.86,"London, UK",51.5074,-0.1278,SUCCESS,MFA,VPN-03,0
2026-09-01 08:13:36,user_1073,198.51.100.37,"New York, USA",40.7128,-74.006,SUCCESS,Password,VPN-01,0
2026-09-01 08:13:48,user_1020,185.220.101.206,"London, UK",51.5074,-0.1278,SUCCESS,MFA,VPN-03,0
2026-09-01 08:14:00,user_1035,198.51.100.213,"New York, USA",40.7128,-74.006,SUCCESS,Password,VPN-02,0
2026-09-01 08:14:12,user_1034,103.22.140.138,"Mumbai, India",19.076,72.8777,SUCCESS,MFA,VPN-01,0
2026-09-01 08:14:24,user_1023,198.51.100.171,"New York, USA",40.7128,-74.006,SUCCESS,Password,VPN-01,0
2026-09-01 08:14:36,user_1004,103.22.140.22,"Mumbai, India",19.076,72.8777,FAILURE,Password,VPN-03,0
2026-09-01 08:14:48,user_1074,198.51.100.80,"New York, USA",40.7128,-74.006,SUCCESS,Password,VPN-01,0
2026-09-01 08:15:00,user_1030,103.21.124.109,"Delhi, India",28.6139,77.209,SUCCESS,Password,VPN-01,0
2026-09-01 08:15:12,user_1028,103.21.124.79,"Delhi, India",28.6139,77.209,SUCCESS,MFA,VPN-02,0
2026-09-01 08:15:24,user_1052,103.22.140.111,"Mumbai, India",19.076,72.8777,FAILURE,Password,VPN-01,0
2026-09-01 08:15:36,user_1074,198.51.100.69,"New York, USA",40.7128,-74.006,SUCCESS,Password,VPN-01,0
2026-09-01 08:15:48,user_1004,103.22.140.21,"Mumbai, India",19.076,72.8777,SUCCESS,Password,VPN-02,0
2026-09-01 08:16:00,user_1011,103.22.140.6,"Mumbai, India",19.076,72.8777,SUCCESS,MFA,VPN-01,0
2026-09-01 08:16:12,user_1053,103.21.124.149,"Delhi, India",28.6139,77.209,SUCCESS,Password,VPN-01,0
2026-09-01 08:16:24,user_1075,198.51.100.244,"New York, USA",40.7128,-74.006,SUCCESS,MFA,VPN-03,0
2026-09-01 08:16:36,user_1019,103.21.124.106,"Delhi, India",28.6139,77.209,SUCCESS,Password,VPN-01,0
2026-09-01 08:16:48,user_1036,103.22.140.219,"Mumbai, India",19.076,72.8777,SUCCESS,Password,VPN-01,0
2026-09-01 08:17:00,user_1008,185.220.101.233,"London, UK",51.5074,-0.1278,SUCCESS,Password,VPN-02,0
2026-09-01 08:17:12,user_1013,103.21.124.159,"Delhi, India",28.6139,77.209,FAILURE,MFA,VPN-03,0
2026-09-01 08:17:24,user_1054,185.220.101.123,"London, UK",51.5074,-0.1278,FAILURE,MFA,VPN-03,0
2026-09-01 08:17:36,user_1010,198.51.100.194,"New York, USA",40.7128,-74.006,SUCCESS,Password,VPN-01,0
2026-09-01 08:17:48,user_1066,103.21.124.10,"Delhi, India",28.6139,77.209,FAILURE,Password,VPN-02,0
